epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,982.213,2.02555,2.06306,1.04202,0.56512,0.0745,0.08822,0.0356,2.08997,1.04958,1.04865,0.000662577,0.000662577,0.000662577
2,2176.41,1.87945,0.95136,0.99918,0.65578,0.073,0.08311,0.035,2.04432,1.0148,1.02091,0.00131608,0.00131608,0.00131608
3,3746.62,1.84797,0.91469,0.99491,0.52684,0.064,0.08915,0.04085,1.89498,0.94415,0.98232,0.00195639,0.00195639,0.00195639
