epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3656.67,1.51737,0.67216,0.92733,0.93979,0.882,0.92279,0.44228,1.75138,0.71805,0.95065,0.0011882,0.0011882,0.0011882
43,3752.34,1.51799,0.66866,0.92602,0.94122,0.8835,0.93162,0.44537,1.74514,0.71444,0.94727,0.0011684,0.0011684,0.0011684
44,3846.17,1.51141,0.67224,0.92368,0.93671,0.87317,0.91879,0.441,1.74631,0.70904,0.95333,0.0011486,0.0011486,0.0011486
45,3942.17,1.52957,0.6687,0.92701,0.93755,0.876,0.92276,0.44452,1.74623,0.71922,0.95059,0.0011288,0.0011288,0.0011288
46,4038.79,1.50213,0.66319,0.92165,0.93826,0.892,0.93295,0.44617,1.75006,0.70521,0.9489,0.001109,0.001109,0.001109
47,4131.64,1.5083,0.66614,0.92259,0.94487,0.889,0.92749,0.44993,1.7392,0.70231,0.9469,0.0010892,0.0010892,0.0010892
48,4222.19,1.49291,0.65574,0.92171,0.94296,0.88437,0.93067,0.44934,1.74666,0.70211,0.94934,0.0010694,0.0010694,0.0010694
49,4310.29,1.50401,0.66127,0.92442,0.94683,0.8865,0.92973,0.44987,1.73733,0.69892,0.94787,0.0010496,0.0010496,0.0010496
50,4398.62,1.47888,0.65179,0.9224,0.94196,0.88452,0.92579,0.44302,1.747,0.7197,0.94751,0.0010298,0.0010298,0.0010298
51,4491.28,1.48409,0.65327,0.91983,0.94339,0.8875,0.93478,0.44513,1.73926,0.70671,0.94528,0.00101,0.00101,0.00101
52,4585.58,1.48607,0.655,0.91764,0.9457,0.88817,0.92766,0.44375,1.74101,0.70362,0.94862,0.0009902,0.0009902,0.0009902
53,4681.21,1.48229,0.64837,0.91951,0.94412,0.8895,0.92535,0.44609,1.73647,0.70549,0.94945,0.0009704,0.0009704,0.0009704
54,4776.52,1.49535,0.65241,0.92342,0.94444,0.8925,0.93426,0.44523,1.75205,0.69549,0.95144,0.0009506,0.0009506,0.0009506
55,4870.46,1.47538,0.64217,0.91974,0.94673,0.886,0.92939,0.44975,1.72908,0.69836,0.94768,0.0009308,0.0009308,0.0009308
56,4968.82,1.46985,0.64236,0.91755,0.9383,0.889,0.92747,0.44687,1.74455,0.68526,0.94978,0.000911,0.000911,0.000911
57,5067.85,1.4748,0.64092,0.91759,0.94858,0.8845,0.92884,0.44952,1.73758,0.69171,0.94984,0.0008912,0.0008912,0.0008912
58,5162.08,1.45339,0.63805,0.91644,0.94963,0.8975,0.934,0.45331,1.73479,0.69586,0.94458,0.0008714,0.0008714,0.0008714
59,5253.62,1.46374,0.64135,0.91451,0.93918,0.89562,0.93068,0.44561,1.73535,0.69953,0.94489,0.0008516,0.0008516,0.0008516
60,5343.61,1.45684,0.63829,0.91616,0.94809,0.8858,0.93152,0.44801,1.74716,0.69671,0.94955,0.0008318,0.0008318,0.0008318
61,5433.26,1.46303,0.64115,0.91757,0.94078,0.876,0.91567,0.43959,1.7451,0.70853,0.95306,0.000812,0.000812,0.000812
62,5525.62,1.44693,0.62987,0.91472,0.93847,0.8955,0.93167,0.4509,1.72677,0.69391,0.94396,0.0007922,0.0007922,0.0007922
63,5621.02,1.45824,0.63341,0.91666,0.94505,0.898,0.93343,0.45149,1.72946,0.69012,0.94614,0.0007724,0.0007724,0.0007724
64,5718.02,1.44955,0.63194,0.91636,0.94517,0.897,0.93556,0.44919,1.73205,0.68872,0.94388,0.0007526,0.0007526,0.0007526
65,5813.9,1.44577,0.63184,0.91314,0.94459,0.89501,0.93394,0.45138,1.74221,0.69106,0.94786,0.0007328,0.0007328,0.0007328
66,5911.85,1.43686,0.62436,0.91395,0.94491,0.885,0.92901,0.44779,1.7409,0.68832,0.95042,0.000713,0.000713,0.000713
67,6010.47,1.44336,0.62275,0.91356,0.94735,0.89075,0.93159,0.45265,1.73786,0.68248,0.94661,0.0006932,0.0006932,0.0006932
68,6106.59,1.45983,0.63126,0.91296,0.94129,0.9,0.93621,0.45722,1.73685,0.68319,0.94727,0.0006734,0.0006734,0.0006734
69,6201.05,1.44419,0.6281,0.9124,0.94709,0.89494,0.93372,0.45563,1.73881,0.68494,0.94783,0.0006536,0.0006536,0.0006536
70,6292.34,1.45142,0.6278,0.91573,0.94568,0.9,0.9366,0.45281,1.73341,0.68039,0.94473,0.0006338,0.0006338,0.0006338
71,6382.72,1.43945,0.62204,0.91057,0.94836,0.899,0.93674,0.45661,1.7216,0.67764,0.94496,0.000614,0.000614,0.000614
72,6474.23,1.42925,0.62177,0.91432,0.93627,0.899,0.92955,0.45221,1.73509,0.68452,0.94657,0.0005942,0.0005942,0.0005942
73,6570.55,1.41454,0.61554,0.90994,0.93721,0.8985,0.93624,0.45857,1.71798,0.68541,0.94552,0.0005744,0.0005744,0.0005744
74,6670.47,1.42131,0.61919,0.90869,0.94755,0.905,0.93976,0.4571,1.72574,0.68087,0.94477,0.0005546,0.0005546,0.0005546
